,participant,week,platform,hrs_spent,op,percep,rec,use
0,1,1,twitter,0,2,1,5,6
1,1,2,twitter,0,2,1,5,6
2,1,3,twitter,0,2,1,5,6
3,1,1,youtube,5,2,7,2,2
4,1,2,youtube,5,2,7,2,2
5,1,3,youtube,10,2,7,2,2
6,1,1,pinterest,0,3,1,6,6
7,1,2,pinterest,0,3,1,6,6
8,1,3,pinterest,0,3,1,6,6
9,1,1,facebook,1,3,1,5,5
10,1,2,facebook,0,3,1,5,5
11,1,3,facebook,0,3,1,5,5
12,1,1,instagram,8,2,7,2,1
13,1,2,instagram,10,2,7,2,1
14,1,3,instagram,6,2,7,2,1
15,1,1,snapchat,8,2,7,2,1
16,1,2,snapchat,6,2,7,2,1
17,1,3,snapchat,8,2,7,2,1
18,2,1,pinterest,0,3,1,5,6
19,2,2,pinterest,0,3,1,5,6
20,2,3,pinterest,0,3,1,5,6
21,2,1,youtube,5,1,5,1,1
22,2,2,youtube,0,1,5,1,1
23,2,3,youtube,4,1,5,1,1
24,2,1,snapchat,1,2,4,1,1
25,2,2,snapchat,17,2,4,1,1
26,2,3,snapchat,10,2,4,1,1
27,2,1,facebook,5,2,2,4,2
28,2,2,facebook,0,2,2,4,2
29,2,3,facebook,1,2,2,4,2
30,2,1,instagram,10,1,5,1,1
31,2,2,instagram,17,1,5,1,1
32,2,3,instagram,24,1,5,1,1
33,2,1,twitter,1,1,6,1,1
34,2,2,twitter,1,1,6,1,1
35,2,3,twitter,1,1,6,1,1
36,3,1,snapchat,10,4,5,3,1
37,3,2,snapchat,3,4,5,3,1
38,3,3,snapchat,5,4,5,3,1
39,3,1,youtube,20,4,7,1,1
40,3,2,youtube,10,4,7,1,1
41,3,3,youtube,10,4,7,1,1
42,3,1,instagram,3,3,4,4,3
43,3,2,instagram,2,3,4,4,3
44,3,3,instagram,1,3,4,4,3
45,3,1,pinterest,0,3,1,7,6
46,3,2,pinterest,0,3,1,7,6
47,3,3,pinterest,0,3,1,7,6
48,3,1,facebook,0,5,1,7,6
49,3,2,facebook,0,5,1,7,6
50,3,3,facebook,0,5,1,7,6
51,3,1,twitter,2,2,4,2,4
52,3,2,twitter,1,2,4,2,4
53,3,3,twitter,0,2,4,2,4
54,4,1,instagram,15,2,7,1,1
55,4,2,instagram,21,2,7,1,1
56,4,3,instagram,23,2,7,1,1
57,4,1,twitter,0,2,3,1,3
58,4,2,twitter,2,2,3,1,3
59,4,3,twitter,2,2,3,1,3
60,4,1,facebook,1,3,3,3,4
61,4,2,facebook,1,3,3,3,4
62,4,3,facebook,5,3,3,3,4
63,4,1,pinterest,0,3,1,5,5
64,4,2,pinterest,0,3,1,5,5
65,4,3,pinterest,16,3,1,5,5
66,4,1,youtube,11,3,7,3,1
67,4,2,youtube,14,3,7,3,1
68,4,3,youtube,20,3,7,3,1
69,4,1,snapchat,10,2,5,1,1
70,4,2,snapchat,20,2,5,1,1
71,4,3,snapchat,20,2,5,1,1
72,5,1,twitter,13,1,5,1,3
73,5,2,twitter,5,1,5,1,3
74,5,3,twitter,3,1,5,1,3
75,5,1,pinterest,0,3,1,4,6
76,5,2,pinterest,0,3,1,4,6
77,5,3,pinterest,0,3,1,4,6
78,5,1,youtube,8,1,6,1,3
79,5,2,youtube,11,1,6,1,3
80,5,3,youtube,6,1,6,1,3
81,5,1,instagram,3,2,3,3,3
82,5,2,instagram,2,2,3,3,3
83,5,3,instagram,1,2,3,3,3
84,5,1,facebook,0,3,1,4,6
85,5,2,facebook,0,3,1,4,6
86,5,3,facebook,0,3,1,4,6
87,5,1,snapchat,19,1,5,1,2
88,5,2,snapchat,3,1,5,1,2
