,coke,sprite,pepsi,other_soda,bud,coors,miller_lite,corona,blue_moon,other_beer,other_alcohol,aquafina,dasani,fiji,other_water,starbucks,coffee_bean,dunkin_donuts,freudian_sip,other_coffee,twitter,snapchat,youtube,facebook,instagram,pinterest,participant
0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,3,3,3,1,15
1,0,2,0,0,0,0,0,0,0,0,0,21,2,0,4,0,0,0,0,0,0,4,10,0,3,0,57
2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,10,10,10,3,8,0,63
3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,3,5,10,0,6,1,162
4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,3,0,4,0,66
5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,2,0,0,0,2,0,10,5,0,1,0,49
6,0,1,0,1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,9,9,9,10,70
8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,5,8,1,5,0,117
9,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,5,1,0,7,0,101
10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,0,13,0,48
11,0,0,1,0,0,0,0,0,0,0,0,1,5,0,7,0,0,0,1,0,1,5,8,0,9,0,29
12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,1,0,0,4,0,1,3,1,0,3,0,76
13,1,1,0,2,0,0,0,0,0,2,0,0,4,5,5,2,0,0,10,3,0,2,2,1,4,0,118
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,7.6,26,0,1.2,0,114
15,2,0,1,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0.5,1,0,0,60
16,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,2,113
17,4,0,1,0,0,0,0,0.5,0,0,0,0,0,0,1,1,0,0,2,0,0,0,5,0,8,0,6
18,0,1,0,0,2,0,0,0,1,8,8,0,0,6,0,10,3,0,1,0,12,10,0,0,10,0,128
19,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,2,0,0,0,20,0,18,0,89
20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,34,0,0,0,27
21,3,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,2,1,0,2,0,151
22,0,0,0,5,0,0,0,1,0,1,2,0,0,0,3,4,0,0,2,0,0,5,14,0,15,0,100
23,3,1,0,0,1,0,0,1,0,0,2,0,0,0,4,0,0,0,2,0,0,0.5,1,1,1.2,0,91
24,4,0,6,4,2,2,2,2,2,2,2,1,1,1,7,5,5,1,1,1,1,6,12,6,8,1,110
25,0,0,0,6,0,0,0,0,0,0,1,0,0,0,15,2,0,0,3,0,4,6,3,0,3,1,87
26,0,0,0,4,0,0,0,0,0,0,0,0,5,2,10,4,0,0,1,0,0,2,2,0,2,0,83
27,1,6,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,2,2,0,1,0,43
28,0,0,0,1,0,0,0,0,0,0,0,2,0,4,10,0,0,0,0,0,1,19,6,0,5,1,119
29,3,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,2,0,4,0,1,0,139
30,1,0,0,2,0,0,0,0,0,0,0,0,1,1,2,3,0,0,0,5,0,0,4,20,0,0,148
31,3,0,0,0,1,0,0,0,0,0,4,0,0,2,2,5,0,0,0,0,7,5,7,1,6,0,127
32,0,2,0,2,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,14,2,0,0,4,0,126
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,13,19,8,0,3,0,5
34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,2,2,2,2,0,135
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,73
36,0,0,0,0,0,2,1,0,0,2,3,0,0,0,13,1,6,0,0,0,0,1,2,1,3,0,37
37,2,0,3,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,5,0,0,3,0,14
38,0,0,0,2,0,0,0,0,0,0,1,0,0,0,15,1,0,0,0,0,0,10,5,20,20,0,25
39,0,2,1,2,0,0,0,0,0,0,0,1,3,0,5,1,0,0,0,2,0,1,3,0,1,0,154
40,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,0,0,0,0,7.7,4.3,3.4,1,11.5,1,108
41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,2,2,0,4,0,71
42,1,1,1,1,1,1,1,1,1,1,1,0,0,0,3,0,0,0,5,1,1,2,1,3,4,0,42
43,2,0,0,5,0,0,0,0,0,1,2,2,1,0,8,2,0,0,0,0,0,6,0,0,4,0,77
44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,8,5,1,8,0,1
45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,123
46,3,0,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,0,15,0,0,0,24
47,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,20,15,0,15,1,10
48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,80
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,2,0,158
50,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,5,10,13,2,10,13,149
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,7,10,0,7,0,67
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,4,1,0,4,0,75
53,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,6,7,3,0,4,0,39
54,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,3,0,10,10,0,0,10,0,104
55,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,8,1,1,0,18
