,coke,sprite,pepsi,other_soda,bud,coors,miller_lite,corona,blue_moon,other_beer,other_alcohol,aquafina,dasani,fiji,other_water,starbucks,coffee_bean,dunkin_donuts,freudian_sip,other_coffee,twitter,snapchat,youtube,facebook,instagram,pinterest,participant
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,8,0,79
1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,4,4,4,4,4,0,63
2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0.2,15,0,113
3,0,0,0,0,0,0,0,0,0,0,3,6,6,6,15,0,0,0,0,0,0,20,20,20,20,0,25
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,3,5,1,3,0,117
6,0,0,0,2,0,0,0,0,0,0,0,2,5,0,7,1,0,0,1,0,1,3,5,0,7,0,29
7,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,112,0,0,0,27
8,3,0,0,1,0,0,0,0,0,0,0,0,1,0,3,2,0,0,5,0,2,7,6,3,5,0,161
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,6,1,2,0,3,0,102
10,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,4,20,0,0,148
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,1,0,6,0,101
12,1,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,4,0,1,0,44
13,0,0,0,2,0,0,0,0,0,0,0,2,0,1,8,0,0,0,1,0,0,16,18,0,18,0,78
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,20,0,8,0,12
15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,123
16,0,0,0,0,0,0,0,0,0,0,0,0,14,0,20,0,0,0,1,0,0,3,6,0,7,2,32
17,0,0,0,0,0,0,0,0,0,2,1,4,0,0,5,0,0,0,3,0,1,4,3,0,3,0,76
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,5,7,4,8,0,64
19,2,1,0,3,0,0,0,0,0,3,0,0,0,0,10,1,0,0,2,2,0,4,0,1,3,1,118
20,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,136
21,2,0,0,0,0,0,0,0,0,0,0,3,0,0,4,1,0,0,0,0,0,0,1,0,0,1,159
22,0,2,0,0,1,0,0,1,1,0,9,0,0,10,9,7,3,0,2,0,15,10,0,0,5,0,128
23,2,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,3,1,0,0,139
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,3,0,2.5,0,67
25,0,3,0,0,0,1,0,0,0,0,1,0,0,0,12,3,4,0,0,1,0,1,0,1,2,0,37
26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,10,1,1,0,18
27,0,0,2,4,0,0,0,0,0,0,0,0,3,4,0,3,0,0,0,0,1,3,2,0,1,0,83
28,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,2,0,2,0,66
29,0,2,0,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,2,0,0,3,3,0,8,0,43
30,2,2,0,0,0,0,0,0,0,0,1,0,0,0,20,4,0,1,1,0,0,0,2,0,5,0,26
31,0,1,0,1,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,5,1,5,5,5,0,106
32,0,0,0,3,0,0,0,0,0,0,0,0,0,0,15,0,0,0,10,0,4,1,10,0,9,0,42
33,1,0,3,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,2,0,0,6,8,3,3,9,35
34,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,2,4,2,0,1,0,87
35,2,2,1,5,0,0,0,0,0,0,0,0,14,0,14,1,0,0,0,0,7,3,5,0,3,0,112
36,5,0,1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,2,5,1,9,20,2,0,8,0,39
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,73
38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,2,0,0,0,0,0,5,10,0,5,0,142
39,1,2,4,3,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,9,1,15,0,2,0,125
40,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,1,0,0,1,0,7,6,2,0,5,1,141
41,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,132
42,2,1,0,3,0,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,25,30,15,0,30,0,156
43,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,3,2,3,3,0,135
44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,3,3,3,3,1,15
45,4,0,0,0,0,0,0,0,0,0,1,0,0,0,5,2,0,0,0,0,10,10,10,2,8,0,127
46,2,0,0,3,0,0,0,0,0,5,2,0,0,0,6,2,0,0,0,0,2,1,1,1,1,1,85
47,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,5,13,15,2,10,9,149
48,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,8,1,6,0,0,1,103
49,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,2,0,6,0,0,2,107
50,0,4,0,2,0,0,0,0,0,0,0,0,3,0,8,1,0,0,2,0,0,1,4,0,1,0,154
51,0,0,0,0,0,0,0,0,0,0,1,3,3,0,5,5,1,0,0,0,1,0,2,1,1,1,7
52,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,80
53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,3,3,0,6,0,34
54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,1,2,0,4,0,71
55,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,0,0,0,0,1,17,0,0,17,0,2
56,2,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,2,3,3,0,130
57,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,10,0,15,4,10
58,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,5,0,4.5,0,6
59,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,7,5,2,121
60,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0,0,1,0,1,0,2,0,17
61,2,2,1,1,0,0,0,0,0,0,0,1,3,2,5,0,0,0,0,0,3,1,1,3,4,1,143
62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2,0,0,0,41
63,0,0,0,2,0,0,0,0,0,0,6,0,0,0,2,2,0,0,0,0,6,8,2,0,10,0,115
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,1,0,0,0,21,0,3,0,129
